iter,parameters_1
1.0,-9.99996846076101e-05
2.0,-0.00020002093515358865
3.0,-0.00030007786699570715
4.0,-0.0004001842753496021
5.0,-0.000500353635288775
6.0,-0.0006005989853292704
7.0,-0.000700932985637337
8.0,-0.0008013676851987839
9.0,-0.0009019144927151501
10.0,-0.0010025841183960438
11.0,-0.001103386515751481
12.0,-0.0012043308233842254
13.0,-0.0013054250739514828
14.0,-0.0014066763687878847
15.0,-0.001508090877905488
16.0,-0.0016096738399937749
17.0,-0.0017114292131736875
18.0,-0.0018133603734895587
19.0,-0.001915469765663147
20.0,-0.002017758786678314
21.0,-0.002120228251442313
22.0,-0.002222878159955144
23.0,-0.002325707580894232
24.0,-0.0024287153501063585
25.0,-0.0025318993721157312
26.0,-0.0026352573186159134
27.0,-0.002738785929977894
28.0,-0.002842481480911374
29.0,-0.002946340013295412
30.0,-0.0030503568705171347
31.0,-0.003154527163133025
32.0,-0.003258845768868923
33.0,-0.0033633068669587374
34.0,-0.00346790486946702
35.0,-0.003572633257135749
36.0,-0.003677485976368189
37.0,-0.003782456275075674
38.0,-0.0038875374011695385
39.0,-0.0039927223697304726
40.0,-0.004098004661500454
41.0,-0.004203376825898886
42.0,-0.004308831878006458
43.0,-0.004414362832903862
44.0,-0.0045199622400105
45.0,-0.0046256231144070625
46.0,-0.004731338005512953
47.0,-0.0048371003940701485
48.0,-0.004942902363836765
49.0,-0.005048737395554781
50.0,-0.005154598504304886
51.0,-0.00526047870516777
52.0,-0.005366371013224125
53.0,-0.005472268909215927
54.0,-0.005578165873885155
55.0,-0.005684054922312498
56.0,-0.005789930000901222
57.0,-0.005895784590393305
58.0,-0.006001612171530724
59.0,-0.006107407156378031
60.0,-0.006213163025677204
61.0,-0.006318874191492796
62.0,-0.006424534600228071
63.0,-0.006530138663947582
64.0,-0.006635680794715881
65.0,-0.006741155870258808
66.0,-0.006846558302640915
67.0,-0.006951882969588041
68.0,-0.007057124748826027
69.0,-0.007162278983741999
70.0,-0.007267340552061796
71.0,-0.007372304797172546
72.0,-0.007477167062461376
73.0,-0.0075819231569767
74.0,-0.007686568424105644
75.0,-0.007791098672896624
76.0,-0.007895509712398052
77.0,-0.007999798282980919
78.0,-0.008103959262371063
