iter,parameters_1
1.0,-9.999848407460377e-05
2.0,-0.0001999040541704744
3.0,-0.00029965394060127437
4.0,-0.00039918493712320924
5.0,-0.0004984336555935442
6.0,-0.0005973367369733751
7.0,-0.0006958309095352888
8.0,-0.0007938533090054989
9.0,-0.0008913417113944888
10.0,-0.0009882345329970121
11.0,-0.001084471121430397
12.0,-0.00117999198846519
13.0,-0.0012747388100251555
14.0,-0.0013686547754332423
15.0,-0.0014616844709962606
16.0,-0.0015537743456661701
17.0,-0.001644872478209436
18.0,-0.0017349289264529943
19.0,-0.0018238958436995745
20.0,-0.0019117272458970547
21.0,-0.0019983795937150717
22.0,-0.0020838112104684114
23.0,-0.00216798298060894
24.0,-0.0022508578840643167
25.0,-0.0023324014618992805
26.0,-0.0024125815834850073
27.0,-0.0024913682136684656
28.0,-0.002568734111264348
29.0,-0.00264465413056314
30.0,-0.002719105686992407
31.0,-0.002792068524286151
32.0,-0.002863524714484811
33.0,-0.002933458425104618
34.0,-0.003001856617629528
35.0,-0.0030687078833580017
36.0,-0.003134003607556224
37.0,-0.0031977370381355286
38.0,-0.0032599035184830427
39.0,-0.003320500487461686
40.0,-0.003379527246579528
41.0,-0.0034369854256510735
42.0,-0.003492878284305334
43.0,-0.0035472107119858265
44.0,-0.003599989926442504
45.0,-0.003651224309578538
46.0,-0.003700924338772893
47.0,-0.0037491018883883953
48.0,-0.0037957699969410896
49.0,-0.0038409437984228134
50.0,-0.0038846395909786224
51.0,-0.003926875069737434
52.0,-0.003967668861150742
53.0,-0.004007040988653898
54.0,-0.004045013338327408
55.0,-0.004081607796251774
56.0,-0.004116848111152649
57.0,-0.00415075896307826
58.0,-0.004183365497738123
59.0,-0.004214694257825613
60.0,-0.0042447722516953945
61.0,-0.004273627884685993
62.0,-0.004301289562135935
63.0,-0.004327787086367607
64.0,-0.004353150259703398
65.0,-0.004377410281449556
66.0,-0.004400597885251045
67.0,-0.004422745201736689
68.0,-0.004443884361535311
69.0,-0.0044640484265983105
70.0,-0.004483269993215799
71.0,-0.0045015825890004635
72.0,-0.004519020207226276
73.0,-0.004535616375505924
74.0,-0.004551405552774668
75.0,-0.004566422197967768
76.0,-0.004580700304359198
77.0,-0.004594275262206793
78.0,-0.004607181530445814
79.0,-0.004619453568011522
80.0,-0.004631126765161753
81.0,-0.004642235580831766
82.0,-0.004652815405279398
83.0,-0.004662900697439909
84.0,-0.004672526381909847
85.0,-0.004681726917624474
86.0,-0.004690537229180336
87.0,-0.004698991309851408
88.0,-0.004707124084234238
89.0,-0.004714969079941511
90.0,-0.004722560755908489
91.0,-0.004729933105409145
92.0,-0.004737119190394878
93.0,-0.004744153004139662
94.0,-0.004751067608594894
95.0,-0.004757895600050688
96.0,-0.004764670040458441
97.0,-0.004771423526108265
98.0,-0.0047781881876289845
99.0,-0.004784995689988136
100.0,-0.004791878163814545
101.0,-0.004798866342753172
102.0,-0.004805991891771555
103.0,-0.004813285078853369
104.0,-0.004820776171982288
105.0,-0.004828495439141989
106.0,-0.004836472682654858
107.0,-0.004844737239181995
108.0,-0.004853317514061928
109.0,-0.004862242378294468
110.0,-0.0048715402372181416
111.0,-0.0048812385648489
112.0,-0.004891364835202694
113.0,-0.0049019455909729
114.0,-0.004913007374852896
115.0,-0.004924576263874769
116.0,-0.004936677403748035
117.0,-0.004949335940182209
118.0,-0.00496257608756423
119.0,-0.004976422060281038
120.0,-0.004990896675735712
121.0,-0.005006023216992617
122.0,-0.0050218235701322556
123.0,-0.005038319155573845
124.0,-0.005055530462414026
125.0,-0.0050734784454107285
126.0,-0.005092182196676731
127.0,-0.0051116603426635265
128.0,-0.00513193104416132
129.0,-0.005153011530637741
130.0,-0.005174918565899134
131.0,-0.005197667516767979
132.0,-0.005221273750066757
133.0,-0.005245750769972801
134.0,-0.005271112080663443
135.0,-0.005297369323670864
136.0,-0.005324534140527248
137.0,-0.005352616775780916
138.0,-0.0053816260769963264
139.0,-0.005411570426076651
140.0,-0.005442457273602486
141.0,-0.005474292207509279
142.0,-0.005507080350071192
143.0,-0.005540825892239809
144.0,-0.00557553069666028
145.0,-0.005611196160316467
146.0,-0.0056478227488696575
147.0,-0.005685409065335989
148.0,-0.005723952781409025
149.0,-0.00576344970613718
150.0,-0.005803894717246294
151.0,-0.005845281295478344
152.0,-0.005887601524591446
153.0,-0.0059308456256985664
154.0,-0.00597500242292881
155.0,-0.006020059809088707
156.0,-0.0060660033486783504
157.0,-0.006112817674875259
158.0,-0.006160485092550516
159.0,-0.006208986975252628
160.0,-0.006258302368223667
161.0,-0.006308408919721842
162.0,-0.006359282415360212
163.0,-0.006410897243767977
164.0,-0.006463225930929184
165.0,-0.006516238208860159
166.0,-0.006569903343915939
167.0,-0.006624187808483839
168.0,-0.006679056212306023
169.0,-0.0067344713024795055
170.0,-0.0067903934977948666
171.0,-0.006846781820058823
172.0,-0.006903592497110367
173.0,-0.00696078035980463
174.0,-0.007018296979367733
175.0,-0.007076092530041933
176.0,-0.007134114857763052
177.0,-0.0071923085488379
178.0,-0.007250616792589426
179.0,-0.007308979984372854
180.0,-0.0073673357255756855
181.0,-0.007425619289278984
182.0,-0.00748376315459609
183.0,-0.007541697006672621
184.0,-0.007599347736686468
185.0,-0.007656638976186514
186.0,-0.007713492028415203
187.0,-0.007769824471324682
188.0,-0.007825550623238087
189.0,-0.007880582474172115
190.0,-0.007934827357530594
191.0,-0.007988189347088337
192.0,-0.008040569722652435
193.0,-0.008091864176094532
194.0,-0.008141966536641121
195.0,-0.008190765045583248
196.0,-0.008238145150244236
197.0,-0.008283986710011959
198.0,-0.008328165858983994
199.0,-0.008370554074645042
200.0,-0.008411018177866936
201.0,-0.00844942033290863
202.0,-0.008485617116093636
203.0,-0.008519460447132587
204.0,-0.008550797589123249
205.0,-0.008579469285905361
206.0,-0.00860531348735094
207.0,-0.008628159761428833
208.0,-0.008647835813462734
209.0,-0.008664160966873169
210.0,-0.008676951751112938
211.0,-0.008686019107699394
212.0,-0.008691169321537018
213.0,-0.008692203089594841
214.0,-0.008688919246196747
215.0,-0.008681111969053745
216.0,-0.008668571710586548
217.0,-0.008651087060570717
218.0,-0.00862844567745924
219.0,-0.00860043428838253
220.0,-0.008566840551793575
221.0,-0.008527453057467937
222.0,-0.008482063189148903
223.0,-0.008430467918515205
224.0,-0.008372468873858452
225.0,-0.00830787792801857
226.0,-0.008236514404416084
227.0,-0.00815820973366499
228.0,-0.0080728093162179
229.0,-0.007980174385011196
230.0,-0.00788018386811018
231.0,-0.00777273578569293
232.0,-0.007657749578356743
233.0,-0.007535166572779417
234.0,-0.007404953707009554
235.0,-0.007267101667821407
236.0,-0.007121627684682608
237.0,-0.006968575529754162
238.0,-0.006808014120906591
239.0,-0.0066400389187037945
240.0,-0.006464770063757896
241.0,-0.006282350514084101
242.0,-0.006092946510761976
243.0,-0.0058967433869838715
244.0,-0.00569394463673234
245.0,-0.005484769586473703
246.0,-0.005269450135529041
247.0,-0.005048229359090328
248.0,-0.004821358248591423
249.0,-0.004589092917740345
250.0,-0.0043516927398741245
251.0,-0.004109418019652367
252.0,-0.003862527897581458
253.0,-0.003611278487369418
254.0,-0.003355921246111393
255.0,-0.0030967018101364374
256.0,-0.0028338581323623657
257.0,-0.0025676204822957516
258.0,-0.00229821028187871
259.0,-0.0020258391741663218
260.0,-0.0017507094889879227
261.0,-0.0014730131952092052
262.0,-0.0011929323663935065
263.0,-0.0009106390061788261
264.0,-0.0006262952229008079
265.0,-0.00034005343331955373
266.0,-5.2056599088246e-05
267.0,0.00023756131122354418
268.0,0.0005286750965751708
269.0,0.0008211679523810744
270.0,0.001114930841140449
271.0,0.0014098624233156443
272.0,0.0017058684024959803
273.0,0.0020028611179441214
274.0,0.0023007590789347887
275.0,0.0025994868483394384
276.0,0.0028989745769649744
277.0,0.003199157305061817
278.0,0.0034999751951545477
279.0,0.003801372367888689
280.0,0.004103297367691994
281.0,0.0044057029299438
282.0,0.004708544816821814
283.0,0.0050117820501327515
284.0,0.005315377376973629
285.0,0.005619295407086611
286.0,0.00592350447550416
287.0,0.006227974314242601
288.0,0.006532677449285984
289.0,0.006837588269263506
290.0,0.007142683491110802
291.0,0.007447941228747368
292.0,0.007753340993076563
293.0,0.008058863691985607
294.0,0.008364493027329445
295.0,0.008670211769640446
296.0,0.00897600594907999
297.0,0.009281860664486885
298.0,0.00958776380866766
299.0,0.009893703274428844
300.0,0.010199667885899544
301.0,0.010505647398531437
302.0,0.010811631567776203
303.0,0.011117612011730671
304.0,0.011423580348491669
305.0,0.0117295291274786
306.0,0.012035450898110867
307.0,0.012341338209807873
308.0,0.012647184543311596
309.0,0.012952984310686588
310.0,0.013258731923997402
311.0,0.01356442179530859
312.0,0.013870049268007278
313.0,0.01417560875415802
314.0,0.014481096528470516
315.0,0.014786507934331894
316.0,0.015091839246451855
317.0,0.0153970867395401
318.0,0.015702245756983757
319.0,0.0160073135048151
320.0,0.016312286257743835
321.0,0.01661716215312481
322.0,0.016921937465667725
323.0,0.017226608470082283
324.0,0.017531171441078186
325.0,0.017835624516010284
326.0,0.01813996583223343
327.0,0.01844419166445732
